,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,
前座芸人のバンダナ,15,15,15,15,0,0,0,0,0,,,,,,,,,,,
麻のぼうし,15,15,15,15,0,0,0,0,0,,,,,,,,,,,
若手芸人のバンダナ,23,23,23,23,0,0,0,0,0,,,,,,,,,,,
ぬすっとずきん,23,30,23,23,0,0,0,0,0,,,,,,,,,,,
いやしのぼうし,23,23,23,30,0,0,0,0,0,,,,,,,,,,,
きぬのぼうし,30,23,23,23,0,0,0,0,0,,,,,,,,,,,
しゅうれん用バンド,23,30,45,45,0,0,0,0,0,,,,,,,,,,,
サフランハット,45,23,45,30,0,0,0,0,0,,,,,,,,,,,
くすしのぼうし,30,45,45,23,0,0,0,0,0,,,,,,,,,,,
はやてのバンダナ,45,30,75,45,0,0,0,0,0,,,,,,,,,,,
みかわしのぼうし,45,45,60,45,0,0,0,0,0,,,,,,,,,,,
手品師のヘアバンド,30,45,75,45,0,0,0,0,0,,,,,,,,,,,
カンフーキャップ,45,60,90,60,0,0,0,0,0,,,,,,,,,,,
マタドールバンド,60,45,90,60,0,0,0,0,0,,,,,,,,,,,
まじないしターバン,60,60,90,45,0,0,0,0,0,,,,,,,,,,,
まもりのぼうし,75,45,75,60,0,0,0,0,0,,,,,,,,,,,
まどうしのぼうし 虹布,105,60,105,60,0,0,0,0,0,,,,,,,,,,,
神官のぼうし 再生布,90,75,90,75,0,0,0,0,0,,,,,,,,,,,
かたりべのぼうし虹布,60,90,105,75,0,0,0,0,0,,,,,,,,,,,
きじゅつしのぼうし,90,105,135,120,0,0,0,0,0,,,,,,,,,,,
フェンサーハット 再生布,120,105,120,105,0,0,0,0,0,,,,,,,,,,,
ホーリーカロット 再生布,125,75,175,75,0,0,0,0,0,,,,,,,,,,,
水のサークレット 虹布,60,120,150,120,0,0,0,0,0,,,,,,,,,,,
司祭のぼうし 再生布,112,112,112,112,0,0,0,0,0,,,,,,,,,,,
無法者のバンダナ,100,125,150,125,0,0,0,0,0,,,,,,,,,,,
ウエスタンハット,60,60,75,60,0,0,0,0,0,,,,,,,,,,,
森人のぼうし,60,75,105,90,0,0,0,0,0,,,,,,,,,,,
マスターハット,125,125,125,125,0,0,0,0,0,,,,,,,,,,,
しんりのぼうし,110,100,150,140,0,0,0,0,0,,,,,,,,,,,
